xls,site_name,proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,reference,doi,co2_as_published,proxy_category,category_reason,co2_superseded,co2_recalculated,co2_revised_reason,age_as_published,age_quarantined,age_superseded,age_recalculated,age_revised_reason,modern_latitude,modern_longitude
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,138.97,4,4,208.61,19.28,18.26,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,146.69,4,4,216.63,20.43,19.24,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,150.04,4,4,209.79,19.96,18.36,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,169.76,4,4,209.58,19.41,18.18,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,179.94,4,4,206.54,19.66,17.69,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,184.37,4,4,214.37,20.9,19.2,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,190.01,4,4,223.75,21.38,19.21,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,191.68,4,4,223.81,20.95,19.83,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,198.07,4,4,246.23,22.47,21.83,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,211.57,4,4,274.42,27.41,24.92,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,220.44,4,4,261.03,24.35,22.29,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,223.66,4,4,259.32,27.23,24.37,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,227.1,4,4,232.53,22.18,21.19,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,235.76,4,4,259.56,26.1,23.77,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,239.48,4,4,242.21,23.06,21.25,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,242.9,4,4,274.68,27.82,25.8,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,247.18,4,4,259.76,24.62,22.66,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,250.07,4,4,224.97,21.63,19.77,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,257.84,4,4,233.39,21.61,20,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1087.26,4,4,232.86,27.37,24.96,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1088.69,4,4,257.79,31.05,27.12,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1090.03,4,4,223.46,24.86,22.67,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1092.67,4,4,242.14,28.26,25.54,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1094.71,4,4,251.16,30.96,26.88,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1099.46,4,4,320.95,39.69,33.75,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1102.42,4,4,301.81,36.05,32.6,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1103.16,4,4,286.05,38.76,33.81,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1106.2,4,4,246.55,27.48,24.84,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1107.82,4,4,262.51,31.08,27.72,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1110.3,4,4,284.02,33.26,30.19,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1112.8,4,4,246.21,28.14,26.09,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1115.26,4,4,227.64,26.65,24.04,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1117.86,4,4,215.33,24.03,21.61,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1120.36,4,4,248.31,27.33,24.69,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1123.09,4,4,205.25,22.59,21.25,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1126.06,4,4,246.43,29.02,26.76,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1127.81,4,4,244.73,29.62,27.08,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1130.97,4,4,249.59,28.55,25.97,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1136.57,4,4,291.67,34.3,29.86,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1140.03,4,4,305.43,37.85,33.23,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1143.23,4,4,278.14,35.69,31.87,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1145.33,4,4,295.74,38.82,33.68,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1148.9,4,4,310.44,47.37,39.87,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1150.94,4,4,260.5,34.06,29.86,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
