age,co2,lower,higher,reference,paper,co2_lower,co2_higher
1.53567,295.46,31.54,29.82,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),263.91999999999996,325.28
0.8919,201.82,21.74,20.93,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),180.07999999999998,222.75
0.95,281.42,52.2,45.63,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),229.22000000000003,327.05
0.9528,304.42,37.04,34.74,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),267.38,339.16
1.0728,293.02,37.63,35.16,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),255.39,328.17999999999995
1.0789000000000002,257.86,28.25,26.97,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),229.61,284.83000000000004
1.1683,265.24,32.87,30.99,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),232.37,296.23
1.1924000000000001,212.81,24.1,23.06,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),188.71,235.87
1.2125,226.19,25.76,24.58,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),200.43,250.76999999999998
1.2333,247,28.44,27.08,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),218.56,274.08
1.2387000000000001,270.46,31.56,29.93,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),238.89999999999998,300.39
1.253,204.11,23.15,22.17,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),180.96,226.28000000000003
1.2617,240.8,27.54,26.25,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),213.26000000000002,267.05
1.35157,284.95,33.78,31.91,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),251.17,316.86
1.38031,219.88,24.94,23.82,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),194.94,243.7
1.487,258.06,29.79,28.33,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),228.27,286.39
1.499,224.72,25.49,24.33,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),199.23,249.05
1.539,225.38,25.66,24.47,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),199.72,249.85
1.5413,227.43,24.82,23.72,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),202.61,251.15
1.5423,278.44,33.03,31.2,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),245.41,309.64
1.5740999999999998,276.01,36.06,33.81,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),239.95,309.82
1.5774000000000001,215.13,23.51,22.49,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),191.62,237.62
1.616,300.5,36.35,34.15,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),264.15,334.65
1.6487,198.01,22.54,21.7,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),175.47,219.70999999999998
1.6595,192.27,31.69,28.93,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),160.58,221.20000000000002
1.6985,289.93,34.91,32.85,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),255.02,322.78000000000003
1.7530999999999999,286.35,33.46,31.47,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),252.89000000000001,317.82000000000005
1.7795999999999998,224.38,25.63,24.45,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),198.75,248.82999999999998
1.97513,202.18,28.25,27.4,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),173.93,229.58
2.02654,234.18,32.54,31.46,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),201.64000000000001,265.64
2.07809,208.19,29.94,28.9,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),178.25,237.09
2.16101,194.72,28.13,27.22,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),166.59,221.94
2.1660399999999997,299.14,43.43,41.22,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),255.70999999999998,340.36
2.20194,307.6,44.17,41.85,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),263.43,349.45000000000005
2.30467,210.26,30.15,29.13,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),180.10999999999999,239.39
2.50294,289.32,41.6,39.64,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),247.72,328.96
2.55858,242.64,36.91,35.3,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),205.73,277.94
2.34014,310.84,57.34,43.46,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),253.49999999999997,354.29999999999995
2.35085,308.16,62.69,45.22,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),245.47000000000003,353.38
2.3580799999999997,300.91,56.58,41.36,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),244.33000000000004,342.27000000000004
2.37892,397.52,72,57.4,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),325.52,454.91999999999996
2.38839,365.24,60.9,56.15,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),304.34000000000003,421.39
2.39671,372.63,59.24,59.26,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),313.39,431.89
2.41093,278.03,48.7,40.04,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),229.32999999999998,318.07
2.4266300000000003,328.64,56.17,47.98,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),272.46999999999997,376.62
2.4545100000000004,317.71,54.3,46.75,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),263.40999999999997,364.46
2.4738200000000004,337.65,57.02,48.56,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),280.63,386.21
2.4973400000000003,351.97,60.93,50.72,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),291.04,402.69000000000005
2.4983,349.77,69,44.74,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),280.77,394.51
2.51716,247.63,46.23,35.52,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),201.4,283.15
2.5404400000000003,333.81,55.9,50.82,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),277.91,384.63
2.5724,303.13,49.34,46.24,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),253.79,349.37
2.01929,347.53,64.31,46.2,"de la Vega, E, Chalk, T.B, Wilson, P.A, Bysani, R.P, Foster, G.L (2020). ""Atmospheric CO2 during the Mid-Piacenzian Warm Period and the M2 glaciation"". Sci Rep 10, 11002 (2020).",de la Vega et al. (2020),283.21999999999997,393.72999999999996
